paramname;in;out;alternative;contextIdentifier
tourliegtvorhaupttour;yes;no;no;tour
tourliegtnachhaupttour;yes;no;no;tour
aktliegtvorhauptakt;yes;no;no;activity
tourtyp_work;yes;no;no;tour
tourtyp_education;yes;no;no;tour
tourtyp_shopping;yes;no;no;tour
tourtyp_transport;yes;no;no;tour
tag_fr;yes;no;no;day
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
haupttour_work;yes;no;no;day
haupttour_education;yes;no;no;day
haupttour_shopping;yes;no;no;day
haupttour_transport;yes;no;no;day
tourhat2akt;yes;no;no;tour
tourhat3akt;yes;no;no;tour
tourhat4akt;yes;no;no;tour
anzahl_arbeitstage0;yes;no;no;person
anzahl_bildungstage0;yes;no;no;person
anzahl_shoppingtage0;yes;no;no;person
anzahl_transporttage0;yes;no;no;person
anzahl_arbeitstage1;yes;no;no;person
anzahl_bildungstage1;yes;no;no;person
anzahl_shoppingtage1;yes;no;no;person
anzahl_transporttage1;yes;no;no;person
W;no;yes;yes;activity
E;no;yes;yes;activity
L;no;yes;yes;activity
S;no;yes;yes;activity
T;no;yes;yes;activity
