paramname;in;out;alternative;contextIdentifier
tourliegtvorhaupttour;yes;no;no;tour
tourliegtnachhaupttour;yes;no;no;tour
tourtyp_work;yes;no;no;tour
tourtyp_education;yes;no;no;tour
tourtyp_shopping;yes;no;no;tour
tourtyp_transport;yes;no;no;tour
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
alter_18bis35;yes;no;no;default
alter_36bis50;yes;no;no;default
alter_51bis60;yes;no;no;default
taghat1tour;yes;no;no;day
taghat2touren;yes;no;no;day
0;no;yes;yes;tour
1;no;yes;yes;tour
2;no;yes;yes;tour
3;no;yes;yes;tour
4;no;yes;yes;tour
5;no;yes;yes;tour
6;no;yes;yes;tour
7;no;yes;yes;tour
8;no;yes;yes;tour
9;no;yes;yes;tour
