paramname;in;out;alternative;contextIdentifier
beruf_vollzeit;yes;no;no;default
beruf_teilzeit;yes;no;no;default
beruf_ohneerwerb;yes;no;no;default
beruf_schueler;yes;no;no;default
beruf_azubi;yes;no;no;default
anzahlkinder_u18;yes;no;no;default
anzahl_arbeitstage5;yes;no;no;person
anzahl_bildungstage5;yes;no;no;person
tag_di;yes;no;no;day
tag_mi;yes;no;no;day
tag_do;yes;no;no;day
tag_fr;yes;no;no;day
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
anztage_w;yes;no;no;person
anztage_e;yes;no;no;person
anztage_l;yes;no;no;person
anztage_s;yes;no;no;person
anztage_t;yes;no;no;person
anztage_immobil;yes;no;no;person
W;no;yes;yes;day
E;no;yes;yes;day
L;no;yes;yes;day
S;no;yes;yes;day
T;no;yes;yes;day
H;no;yes;yes;day
