paramname;in;out;alternative;contextIdentifier
beruf_vollzeit;yes;no;no;default
beruf_teilzeit;yes;no;no;default
beruf_ohneerwerb;yes;no;no;default
beruf_schueler;yes;no;no;default
beruf_azubi;yes;no;no;default
haupttour_work;yes;no;no;day
haupttour_education;yes;no;no;day
haupttour_shopping;yes;no;no;day
haupttour_transport;yes;no;no;day
tag_fr;yes;no;no;day
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
tour1destages;yes;no;no;tour
tour2destages;yes;no;no;tour
tour3destages;yes;no;no;tour
tourliegtvorhaupttour;yes;no;no;tour
anzahl_arbeitstage0;yes;no;no;person
anzahl_bildungstage0;yes;no;no;person
anzahl_shoppingtage0;yes;no;no;person
anzahl_transporttage0;yes;no;no;person
anzahl_arbeitstage1;yes;no;no;person
anzahl_bildungstage1;yes;no;no;person
anzahl_shoppingtage1;yes;no;no;person
anzahl_transporttage1;yes;no;no;person
W;no;yes;yes;tour
E;no;yes;yes;tour
L;no;yes;yes;tour
S;no;yes;yes;tour
T;no;yes;yes;tour
