paramname;in;alternative;contextIdentifier
beruf_schueler;yes;no;default
haushalthatkinderunter18;yes;no;default
alter_10bis17;yes;no;default
anztagemit_tourenvorht;yes;no;person
anztagemit_tourennachht;yes;no;person
1;no;yes;person
2;no;yes;person
3;no;yes;person
4;no;yes;person
5;no;yes;person
6;no;yes;person
7;no;yes;person
8;no;yes;person
9;no;yes;person
10;no;yes;person
11;no;yes;person
12;no;yes;person
13;no;yes;person
14;no;yes;person
15;no;yes;person
16;no;yes;person
