paramname;in;alternative;contextIdentifier
beruf_vollzeit;yes;no;default
beruf_teilzeit;yes;no;default
beruf_ohneerwerb;yes;no;default
beruf_schueler;yes;no;default
beruf_azubi;yes;no;default
anzahlkinder_u18;yes;no;default
anzahl_arbeitstage5;yes;no;person
anzahl_bildungstage5;yes;no;person
tag_di;yes;no;day
tag_mi;yes;no;day
tag_do;yes;no;day
tag_fr;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
anztage_w;yes;no;person
anztage_e;yes;no;person
anztage_l;yes;no;person
anztage_s;yes;no;person
anztage_t;yes;no;person
anztage_immobil;yes;no;person
W;no;yes;day
E;no;yes;day
L;no;yes;day
S;no;yes;day
T;no;yes;day
H;no;yes;day
