paramname;in;alternative;contextIdentifier
beruf_vollzeit;yes;no;default
haupttour_work;yes;no;day
haupttour_education;yes;no;day
haupttour_shopping;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
male;yes;no;default
alter_10bis17;yes;no;default
alter_26bis35;yes;no;default
alter_36bis50;yes;no;default
alter_51bis60;yes;no;default
pendeln_0bis5km;yes;no;default
mean_1tour;yes;no;person
mean_2touren;yes;no;person
tagvorher_0vortouren;yes;no;day
tagvorher_1vortour;yes;no;day
0;no;yes;day
1;no;yes;day
2;no;yes;day
3;no;yes;day
4;no;yes;day
5;no;yes;day
