Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;1.6917
Grundnutzen;2;-0.3145
Grundnutzen;3;1.4785
Grundnutzen;4;-0.3925
Grundnutzen;5;1.5406
Grundnutzen;6;1.3177
Grundnutzen;7;0
Grundnutzen;8;1.3474
Grundnutzen;9;3.7034
anzakt_woche_w;1;0.0280
anzakt_woche_w;2;0.0574
anzakt_woche_w;3;0.0212
anzakt_woche_w;4;0.0189
anzakt_woche_w;5;-0.00773
anzakt_woche_w;6;-0.0169
anzakt_woche_w;7;0
anzakt_woche_w;8;-0.0695
anzakt_woche_w;9;-0.1441
anzakt_woche_e;1;0.5101
anzakt_woche_e;2;0.4112
anzakt_woche_e;3;0.2866
anzakt_woche_e;4;0.2611
anzakt_woche_e;5;0.1705
anzakt_woche_e;6;-0.0178
anzakt_woche_e;7;0
anzakt_woche_e;8;0.1176
anzakt_woche_e;9;0.0589
beruf_vollzeit;1;-4.1322
beruf_vollzeit;2;-3.4684
beruf_vollzeit;3;-2.3744
beruf_vollzeit;4;-1.9970
beruf_vollzeit;5;-1.1243
beruf_vollzeit;6;-0.8526
beruf_vollzeit;7;0
beruf_vollzeit;8;0.3177
beruf_vollzeit;9;0.4104
beruf_teilzeit;1;-1.0048
beruf_teilzeit;2;-0.1724
beruf_teilzeit;3;0.3210
beruf_teilzeit;4;0.5013
beruf_teilzeit;5;0.3681
beruf_teilzeit;6;0.0577
beruf_teilzeit;7;0
beruf_teilzeit;8;-0.7687
beruf_teilzeit;9;-1.2180
beruf_schueler;1;-1.7583
beruf_schueler;2;-1.4337
beruf_schueler;3;-0.5554
beruf_schueler;4;-0.0131
beruf_schueler;5;-0.2072
beruf_schueler;6;-0.1949
beruf_schueler;7;0
beruf_schueler;8;-0.4789
beruf_schueler;9;-1.0637
beruf_azubi;1;-5.1228
beruf_azubi;2;-4.0171
beruf_azubi;3;-2.4069
beruf_azubi;4;-2.1086
beruf_azubi;5;-1.8661
beruf_azubi;6;-0.9263
beruf_azubi;7;0
beruf_azubi;8;-0.8894
beruf_azubi;9;-1.1621
male;1;-0.1487
male;2;-0.2486
male;3;-0.4255
male;4;-0.1425
male;5;-0.2656
male;6;-0.1242
male;7;0
male;8;0.1727
male;9;0.5458
alter_18bis25;1;-2.2042
alter_18bis25;2;-1.8277
alter_18bis25;3;-1.5836
alter_18bis25;4;-0.9291
alter_18bis25;5;-1.0425
alter_18bis25;6;-0.5091
alter_18bis25;7;0
alter_18bis25;8;0.7620
alter_18bis25;9;1.2577
alter_26bis35;1;-2.7129
alter_26bis35;2;-1.8315
alter_26bis35;3;-1.5112
alter_26bis35;4;-0.9172
alter_26bis35;5;-0.6534
alter_26bis35;6;-0.1742
alter_26bis35;7;0
alter_26bis35;8;0.2809
alter_26bis35;9;0.5091
alter_36bis50;1;-2.2585
alter_36bis50;2;-1.7146
alter_36bis50;3;-1.5544
alter_36bis50;4;-0.9391
alter_36bis50;5;-0.7849
alter_36bis50;6;-0.1869
alter_36bis50;7;0
alter_36bis50;8;0.0511
alter_36bis50;9;0.3553
alter_51bis60;1;-1.8666
alter_51bis60;2;-1.4355
alter_51bis60;3;-1.4254
alter_51bis60;4;-0.5696
alter_51bis60;5;-0.6941
alter_51bis60;6;0.0135
alter_51bis60;7;0
alter_51bis60;8;0.1023
alter_51bis60;9;0.2784
tagemit_wakt_1;1;20.0279
tagemit_wakt_1;2;17.7290
tagemit_wakt_1;3;12.7148
tagemit_wakt_1;4;14.2895
tagemit_wakt_1;5;11.6515
tagemit_wakt_1;6;-0.0674
tagemit_wakt_1;7;0
tagemit_wakt_1;8;9.1882
tagemit_wakt_1;9;7.2528
tagemit_wakt_2;1;16.5940
tagemit_wakt_2;2;16.9682
tagemit_wakt_2;3;14.3076
tagemit_wakt_2;4;13.3451
tagemit_wakt_2;5;9.1610
tagemit_wakt_2;6;9.0156
tagemit_wakt_2;7;0
tagemit_wakt_2;8;7.1875
tagemit_wakt_2;9;3.6982
tagemit_wakt_3;1;5.9771
tagemit_wakt_3;2;6.9188
tagemit_wakt_3;3;4.6474
tagemit_wakt_3;4;5.5677
tagemit_wakt_3;5;3.5086
tagemit_wakt_3;6;1.3145
tagemit_wakt_3;7;0
tagemit_wakt_3;8;-2.2518
tagemit_wakt_3;9;-3.8389
tagemit_wakt_4;1;1.7452
tagemit_wakt_4;2;2.9442
tagemit_wakt_4;3;1.2165
tagemit_wakt_4;4;2.5104
tagemit_wakt_4;5;0.3374
tagemit_wakt_4;6;0.3853
tagemit_wakt_4;7;0
tagemit_wakt_4;8;-1.6536
tagemit_wakt_4;9;-5.1337
tagemit_wakt_5;1;0.3102
tagemit_wakt_5;2;1.3567
tagemit_wakt_5;3;-0.0940
tagemit_wakt_5;4;1.8641
tagemit_wakt_5;5;0.1542
tagemit_wakt_5;6;0.1320
tagemit_wakt_5;7;0
tagemit_wakt_5;8;0.4347
tagemit_wakt_5;9;-2.4324
tagemit_wakt_6;1;1.0982
tagemit_wakt_6;2;1.6344
tagemit_wakt_6;3;-0.6928
tagemit_wakt_6;4;1.5049
tagemit_wakt_6;5;0.0584
tagemit_wakt_6;6;-0.0217
tagemit_wakt_6;7;0
tagemit_wakt_6;8;0.3006
tagemit_wakt_6;9;-0.9668
