paramname;in;out;alternative;contextIdentifier
male;yes;no;no;default
dauer_akt_1bis14;yes;no;no;activity
dauer_akt_15bis29;yes;no;no;activity
dauer_akt_30bis59;yes;no;no;activity
dauer_akt_60bis119;yes;no;no;activity
dauer_akt_120bis179;yes;no;no;activity
dauer_akt_180bis239;yes;no;no;activity
dauer_akt_240bis299;yes;no;no;activity
dauer_akt_300bis359;yes;no;no;activity
dauer_akt_360bis419;yes;no;no;activity
dauer_akt_420bis479;yes;no;no;activity
dauer_akt_480bis539;yes;no;no;activity
beruf_vollzeit;yes;no;no;default
beruf_teilzeit;yes;no;no;default
beruf_schueler;yes;no;no;default
beruf_azubi;yes;no;no;default
alter_10bis17;yes;no;no;default
alter_18bis25;yes;no;no;default
alter_26bis35;yes;no;no;default
alter_51bis60;yes;no;no;default
ersteaktamtag;yes;no;no;activity
tag_fr;yes;no;no;day
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
12;no;yes;yes;activity
51;no;yes;yes;activity
52;no;yes;yes;activity
53;no;yes;yes;activity
77;no;yes;yes;activity
