paramname;in;out;alternative;contextIdentifier
lakt_prowoche_1bis3;yes;no;no;person
lakt_prowoche_4bis6;yes;no;no;person
lakt_prowoche_7bis10;yes;no;no;person
zeitbudget_work_ueber_kat2;yes;no;no;person
pendeln_0bis5km;yes;no;no;default
beruf_vollzeit;yes;no;no;default
beruf_schueler;yes;no;no;default
beruf_azubi;yes;no;no;default
tagemit_lakt_1;yes;no;no;person
tagemit_lakt_2;yes;no;no;person
tagemit_lakt_3;yes;no;no;person
tagemit_lakt_4;yes;no;no;person
tagemit_lakt_5;yes;no;no;person
1;no;yes;yes;person
2;no;yes;yes;person
3;no;yes;yes;person
4;no;yes;yes;person
5;no;yes;yes;person
6;no;yes;yes;person
