paramname;in;alternative;contextIdentifier
anztourenvorhaupttour;yes;no;day
anztourennachhaupttour;yes;no;day
tourhat1akt;yes;no;tour
alter_10bis17;yes;no;default
tourtyp_work;yes;no;tour
tag_sa;yes;no;day
tag_so;yes;no;day
dauer_akt_in_tour_2bis4std;yes;no;tour
dauer_akt_in_tour_4bis6std;yes;no;tour
dauer_akt_in_tour_6bis8std;yes;no;tour
dauer_akt_in_tour_8bis10std;yes;no;tour
dauer_akt_in_tour_10bis12std;yes;no;tour
dauer_akt_vorht_tag_1bis120;yes;no;day
std_start_T1_6_7_Uhr;yes;no;person
std_start_T1_7_8_Uhr;yes;no;person
yes;no;yes;tour
no;no;yes;tour
