Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;yes;0
Grundnutzen;no;0.3709
aktzweck_work;yes;0
aktzweck_work;no;-0.5610
aktzweck_education;yes;0
aktzweck_education;no;-0.7771
anzaktwieanztagemitzweck;yes;0
anzaktwieanztagemitzweck;no;-0.8515
beruf_vollzeit;yes;0
beruf_vollzeit;no;0.0500
beruf_teilzeit;yes;0
beruf_teilzeit;no;-0.1152
taghat1akt;yes;0
taghat1akt;no;-0.3783
taghat2akt;yes;0
taghat2akt;no;-0.2701
taghat3akt;yes;0
taghat3akt;no;-0.1396
taghat1tour;yes;0
taghat1tour;no;0.3030
taghat2touren;yes;0
taghat2touren;no;0.0732
tag_sa;yes;0
tag_sa;no;0.3699
tag_so;yes;0
tag_so;no;0.3027
mittl_zeit_akt_1bis14min;yes;0
mittl_zeit_akt_1bis14min;no;-1.5198
mittl_zeit_akt_15bis29min;yes;0
mittl_zeit_akt_15bis29min;no;-1.3527
mittl_zeit_akt_30bis59min;yes;0
mittl_zeit_akt_30bis59min;no;-0.4782
mittl_zeit_akt_60bis119min;yes;0
mittl_zeit_akt_60bis119min;no;-0.3813
mittl_zeit_akt_120bis179min;yes;0
mittl_zeit_akt_120bis179min;no;0.0175
mittl_zeit_akt_180bis239min;yes;0
mittl_zeit_akt_180bis239min;no;0.6227
mittl_zeit_akt_240bis299min;yes;0
mittl_zeit_akt_240bis299min;no;0.5606
mittl_zeit_akt_300bis359min;yes;0
mittl_zeit_akt_300bis359min;no;0.6856
mittl_zeit_akt_360bis419min;yes;0
mittl_zeit_akt_360bis419min;no;0.7753
mittl_zeit_akt_420bis479min;yes;0
mittl_zeit_akt_420bis479min;no;0.7963
tourhat1akt;yes;0
tourhat1akt;no;-0.7774
tourhat2akt;yes;0
tourhat2akt;no;-0.5889
tourhat3akt;yes;0
tourhat3akt;no;-0.3665
