paramname;in;alternative;contextIdentifier
beruf_vollzeit;yes;no;default
beruf_teilzeit;yes;no;default
beruf_ohneerwerb;yes;no;default
beruf_schueler;yes;no;default
beruf_azubi;yes;no;default
haupttour_work;yes;no;day
haupttour_education;yes;no;day
haupttour_shopping;yes;no;day
haupttour_transport;yes;no;day
tag_fr;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
tour1destages;yes;no;tour
tour2destages;yes;no;tour
tour3destages;yes;no;tour
tourliegtvorhaupttour;yes;no;tour
anzahl_arbeitstage0;yes;no;person
anzahl_bildungstage0;yes;no;person
anzahl_shoppingtage0;yes;no;person
anzahl_transporttage0;yes;no;person
anzahl_arbeitstage1;yes;no;person
anzahl_bildungstage1;yes;no;person
anzahl_shoppingtage1;yes;no;person
anzahl_transporttage1;yes;no;person
W;no;yes;tour
E;no;yes;tour
L;no;yes;tour
S;no;yes;tour
T;no;yes;tour
