paramname;in;alternative;contextIdentifier
aktzweck_work;yes;no;activity
aktzweck_education;yes;no;activity
anzaktwieanztagemitzweck;yes;no;activity
beruf_vollzeit;yes;no;default
beruf_teilzeit;yes;no;default
taghat1akt;yes;no;day
taghat2akt;yes;no;day
taghat3akt;yes;no;day
taghat1tour;yes;no;day
taghat2touren;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
mittl_zeit_akt_1bis14min;yes;no;activity
mittl_zeit_akt_15bis29min;yes;no;activity
mittl_zeit_akt_30bis59min;yes;no;activity
mittl_zeit_akt_60bis119min;yes;no;activity
mittl_zeit_akt_120bis179min;yes;no;activity
mittl_zeit_akt_180bis239min;yes;no;activity
mittl_zeit_akt_240bis299min;yes;no;activity
mittl_zeit_akt_300bis359min;yes;no;activity
mittl_zeit_akt_360bis419min;yes;no;activity
mittl_zeit_akt_420bis479min;yes;no;activity
tourhat1akt;yes;no;tour
tourhat2akt;yes;no;tour
tourhat3akt;yes;no;tour
yes;no;yes;activity
no;no;yes;activity
