paramname;in;out;alternative;contextIdentifier
beruf_schueler;yes;no;no;default
beruf_azubi;yes;no;no;default
beruf_rentner;yes;no;no;default
tourtyp_work;yes;no;no;tour
tourtyp_education;yes;no;no;tour
tourtyp_shopping;yes;no;no;tour
tourtyp_transport;yes;no;no;tour
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
dauer_akt_in_tour_2bis4std;yes;no;no;tour
dauer_akt_in_tour_4bis6std;yes;no;no;tour
dauer_akt_in_tour_6bis8std;yes;no;no;tour
dauer_akt_in_tour_8bis10std;yes;no;no;tour
dauer_akt_in_tour_10bis12std;yes;no;no;tour
dauer_akt_vorht_tag_1bis120;yes;no;no;day
dauer_akt_vorht_tag_121bis240;yes;no;no;day
tourhat1akt;yes;no;no;tour
tourhat2akt;yes;no;no;tour
taghat1tour;yes;no;no;day
taghat2touren;yes;no;no;day
tour1destages;yes;no;no;tour
tour2destages;yes;no;no;tour
tour3destages;yes;no;no;tour
1;no;yes;yes;tour
2;no;yes;yes;tour
3;no;yes;yes;tour
4;no;yes;yes;tour
5;no;yes;yes;tour
6;no;yes;yes;tour
7;no;yes;yes;tour
8;no;yes;yes;tour
9;no;yes;yes;tour
10;no;yes;yes;tour
11;no;yes;yes;tour
12;no;yes;yes;tour
13;no;yes;yes;tour
14;no;yes;yes;tour
15;no;yes;yes;tour
16;no;yes;yes;tour
