Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;W;-0.5374
Grundnutzen;E;-2.0857
Grundnutzen;L;1.9943
Grundnutzen;S;3.3805
Grundnutzen;T;2.0037
Grundnutzen;H;0
beruf_vollzeit;W;0.6741
beruf_vollzeit;E;-0.1152
beruf_vollzeit;L;-0.0312
beruf_vollzeit;S;0.000393
beruf_vollzeit;T;0.0729
beruf_vollzeit;H;0
beruf_teilzeit;W;0.7520
beruf_teilzeit;E;-0.2732
beruf_teilzeit;L;-0.0150
beruf_teilzeit;S;0.0385
beruf_teilzeit;T;-0.0390
beruf_teilzeit;H;0
beruf_ohneerwerb;W;0.1923
beruf_ohneerwerb;E;0.2275
beruf_ohneerwerb;L;-0.0105
beruf_ohneerwerb;S;-0.00451
beruf_ohneerwerb;T;0.0550
beruf_ohneerwerb;H;0
beruf_schueler;W;0.3334
beruf_schueler;E;0.5730
beruf_schueler;L;0.0280
beruf_schueler;S;-0.1266
beruf_schueler;T;0.1582
beruf_schueler;H;0
beruf_azubi;W;0.6364
beruf_azubi;E;1.0611
beruf_azubi;L;0.1044
beruf_azubi;S;-0.0696
beruf_azubi;T;0.2911
beruf_azubi;H;0
anzahlkinder_u18;W;0.0157
anzahlkinder_u18;E;-0.00777
anzahlkinder_u18;L;0.0319
anzahlkinder_u18;S;0.0364
anzahlkinder_u18;T;-0.1479
anzahlkinder_u18;H;0
anzahl_arbeitstage5;W;-0.3172
anzahl_arbeitstage5;E;-0.3606
anzahl_arbeitstage5;L;0.00941
anzahl_arbeitstage5;S;0.0477
anzahl_arbeitstage5;T;-0.1548
anzahl_arbeitstage5;H;0
anzahl_bildungstage5;W;0.5653
anzahl_bildungstage5;E;-0.2815
anzahl_bildungstage5;L;-0.0548
anzahl_bildungstage5;S;0.0109
anzahl_bildungstage5;T;-0.3484
anzahl_bildungstage5;H;0
tag_di;W;0.2455
tag_di;E;0.2964
tag_di;L;0.1002
tag_di;S;-0.0684
tag_di;T;0.0244
tag_di;H;0
tag_mi;W;0.2724
tag_mi;E;0.1432
tag_mi;L;0.2222
tag_mi;S;-0.0216
tag_mi;T;0.1071
tag_mi;H;0
tag_do;W;0.3519
tag_do;E;0.1816
tag_do;L;0.3170
tag_do;S;0.1976
tag_do;T;0.2112
tag_do;H;0
tag_fr;W;-0.0849
tag_fr;E;-0.1789
tag_fr;L;0.3957
tag_fr;S;0.2751
tag_fr;T;0.2118
tag_fr;H;0
tag_sa;W;-4.2897
tag_sa;E;-6.5275
tag_sa;L;0.1398
tag_sa;S;-0.4959
tag_sa;T;-1.0866
tag_sa;H;0
tag_so;W;-6.0544
tag_so;E;-8.4008
tag_so;L;-0.3538
tag_so;S;-3.4272
tag_so;T;-1.8189
tag_so;H;0
anztage_w;W;1.1204
anztage_w;E;0.3398
anztage_w;L;-0.1783
anztage_w;S;-0.2604
anztage_w;T;-0.2783
anztage_w;H;0
anztage_e;W;0.1160
anztage_e;E;1.5550
anztage_e;L;-0.2711
anztage_e;S;-0.3485
anztage_e;T;-0.2864
anztage_e;H;0
anztage_l;W;0.0258
anztage_l;E;0.0524
anztage_l;L;0.3393
anztage_l;S;-0.2464
anztage_l;T;-0.2315
anztage_l;H;0
anztage_s;W;-0.00111
anztage_s;E;-0.00581
anztage_s;L;-0.0681
anztage_s;S;0.2289
anztage_s;T;-0.2012
anztage_s;H;0
anztage_t;W;0.0311
anztage_t;E;-0.00406
anztage_t;L;-0.0126
anztage_t;S;-0.0602
anztage_t;T;0.5990
anztage_t;H;0
anztage_immobil;W;-1.0048
anztage_immobil;E;-0.8921
anztage_immobil;L;-1.1550
anztage_immobil;S;-1.2861
anztage_immobil;T;-1.4004
anztage_immobil;H;0
