paramname;in;out;alternative;contextIdentifier
touristhaupttour;yes;no;no;tour
anztourenamtag;yes;no;no;day
tour2destages;yes;no;no;tour
tour3destages;yes;no;no;tour
dauer_akt_tag_4bis6std;yes;no;no;day
dauer_akt_tag_6bis8std;yes;no;no;day
dauer_akt_tag_8bis10std;yes;no;no;day
dauer_akt_tag_10bis12std;yes;no;no;day
dauer_akt_tag_12bis14std;yes;no;no;day
endetourvorher_Std_12;yes;no;no;tour
endetourvorher_Std_13;yes;no;no;tour
endetourvorher_Std_14;yes;no;no;tour
endetourvorher_Std_15;yes;no;no;tour
endetourvorher_Std_16;yes;no;no;tour
endetourvorher_Std_17;yes;no;no;tour
endetourvorher_Std_18;yes;no;no;tour
endetourvorher_Std_19;yes;no;no;tour
endetourvorher_Std_20;yes;no;no;tour
beruf_schueler;yes;no;no;default
1;no;yes;yes;tour
2;no;yes;yes;tour
3;no;yes;yes;tour
4;no;yes;yes;tour
5;no;yes;yes;tour
6;no;yes;yes;tour
7;no;yes;yes;tour
8;no;yes;yes;tour
9;no;yes;yes;tour
10;no;yes;yes;tour
